isco_code,anzsco_code,anzsco_title
3211,251212,Medical Radiation Therapist
3211,251213,Nuclear Medicine Technologist
3211,251214,Sonographer
3211,311212,Cardiac Technician
3212,234611,Medical Laboratory Scientist
3212,311213,Medical Laboratory Technician
3213,311215,Pharmacy Technician
3214,251912,Orthotist or Prosthetist
3214,311217,Respiratory Technician
3214,311299,Medical Technicians nec
3214,411212,Dental Prosthetist
3214,411213,Dental Technician
3221,411411,Enrolled Nurse
3222,411412,Mothercraft Nurse
3230,451511,Natural Remedy Consultant
3230,451513,Herbalist (Western)
3240,311413,Life Science Technician
3240,361311,Veterinary Nurse
3251,411211,Dental Hygienist
3251,411214,Dental Therapist
3251,423211,Dental Assistant
3252,224213,Health Information Manager
3252,561311,Filing or Registry Clerk
3252,599915,Clinical Coder
3253,251911,Health Promotion Officer
3253,411511,Aboriginal and Torres Strait Islander Health Worker
3253,411512,Kaiāwhina (Hauora) (Māori Health Assistant)
3254,399913,Optical Dispenser / Dispensing Optician
3255,411611,Massage Therapist
3255,423314,Therapy Aide
3256,311299,Medical Technicians nec
3257,251311,Environmental Health Officer
3257,311312,Meat Inspector
3257,311314,Primary Products Quality Assurance Officer
3257,311399,Primary Products Assurance and Inspection Officers nec
3257,312611,Safety Inspector
3257,599514,"Invasive Pest, Weed and Disease Inspector"
3257,599521,Water Inspector
3257,599599,Inspectors and Regulatory Officers nec
3258,411111,Ambulance Officer
3258,411112,Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)
3259,252299,Complementary Health Therapists nec
3259,311211,Anaesthetic Technician
3259,311212,Cardiac Technician
3259,311214,Operating Theatre Technician
3259,311299,Medical Technicians nec
3259,411311,Diversional Therapist
3259,423314,Therapy Aide
3311,222112,Finance Broker
3311,222199,Financial Brokers nec
3311,222211,Financial Market Dealer
3311,222213,Stockbroking Dealer
3311,222299,Financial Dealers nec
3312,552211,Credit or Loans Officer (Aus) / Finance Clerk (NZ)
3313,551211,Bookkeeper
