soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
21-1013,Marriage and Family Therapists,1.47313,2635,Social work and counselling professionals,1.0,1.47313
21-1014,Mental Health Counselors,1.536944,2635,Social work and counselling professionals,1.0,1.536944
21-1015,Rehabilitation Counselors,0.8346704,2635,Social work and counselling professionals,1.0,0.8346704
21-1021,"Child, Family, and School Social Workers",0.9571291,2635,Social work and counselling professionals,1.0,0.9571291
21-1022,Healthcare Social Workers,1.093619,2635,Social work and counselling professionals,1.0,1.093619
21-1023,Mental Health and Substance Abuse Social Workers,1.253184,2635,Social work and counselling professionals,1.0,1.253184
21-1091,Health Educators,0.9684216,2263,Environmental and occupational health and hygiene professionals,1.0,0.9684216
21-1092,Probation Officers and Correctional Treatment Specialists,0.896767,2635,Social work and counselling professionals,1.0,0.896767
21-1093,Social and Human Service Assistants,0.5573961,3412,Social work associate professionals,1.0,0.5573961
21-1094,Community Health Workers,0.1347507,3253,Community health workers,1.0,0.1347507
21-2011,Clergy,1.470103,2636,Religious professionals,1.0,1.470103
21-2021,"Directors, Religious Activities and Education",1.355036,2636,Religious professionals,1.0,1.355036
23-1011,Lawyers,1.454044,2611,Lawyers,1.0,1.454044
23-1012,Judicial Law Clerks,1.512581,3411,Legal and related associate professionals,1.0,1.512581
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.547145,2612,Judges,1.0,1.547145
23-1022,"Arbitrators, Mediators, and Conciliators",1.647241,2619,Legal professionals not elsewhere classified,1.0,1.647241
23-1023,"Judges, Magistrate Judges, and Magistrates",1.646266,2612,Judges,1.0,1.646266
23-2011,Paralegals and Legal Assistants,1.332659,3411,Legal and related associate professionals,1.0,1.332659
