person_id,year,occ_code,occ_major_group,white_collar,blue_collar,ai_exposure,annual_wage,log_wage,sex,age,state,edu,yr_2021,ai_x_yr2021,yr_2022,ai_x_yr2022,yr_2023,ai_x_yr2023,yr_2024,ai_x_yr2024
100513,2020,89,8,0,1,-0.2189084324372928,115.0,4.74493212836325,1.0,70.0,5.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100518,2020,41,4,1,0,-0.01690187175562818,1600.0,7.3777589082278725,2.0,49.0,2.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100519,2020,56,5,0,1,0.14716825698620187,1200.0,7.090076835776092,1.0,50.0,2.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100521,2020,83,8,0,1,-0.1091556041922269,825.0,6.715383386334681,1.0,19.0,2.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100522,2020,22,2,1,0,0.23363319630473772,2300.0,7.7406644019172415,1.0,49.0,3.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100525,2020,34,3,1,0,-0.16198064003426815,2000.0,7.600902459542082,1.0,46.0,4.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100528,2020,42,4,1,0,0.01051028608479534,750.0,6.620073206530356,2.0,34.0,2.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100549,2020,23,2,1,0,0.15416288675229753,1381.0,7.2305631534092925,1.0,41.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100579,2020,62,6,0,1,0.01205130738931425,500.0,6.214608098422191,1.0,19.0,3.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100582,2020,71,7,0,1,-0.3228701137548854,1588.0,7.370230641807081,1.0,67.0,2.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100583,2020,52,5,0,1,0.5169799814814815,1530.0,7.333023014386481,2.0,63.0,2.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100584,2020,24,2,1,0,0.30562130137616766,2000.0,7.600902459542082,1.0,33.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100586,2020,71,7,0,1,-0.3228701137548854,1458.0,7.284820912568604,1.0,29.0,2.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100587,2020,24,2,1,0,0.30562130137616766,1150.0,7.047517221357296,1.0,26.0,2.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100591,2020,22,2,1,0,0.23363319630473772,1825.0,7.509335266016592,2.0,30.0,5.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100602,2020,61,6,0,1,0.1513889642307972,1750.0,7.4673710669175595,2.0,48.0,3.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100604,2020,23,2,1,0,0.15416288675229753,815.0,6.703188113240863,2.0,23.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100606,2020,25,2,1,0,0.06932169621067275,3250.0,8.086410275323782,1.0,67.0,2.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
